gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_No phone service,MultipleLines_Yes
0,-0.43991649313097614,1,0,-1.2774445836787656,0,1,-1.1603229160349193,29.85,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,-0.43991649313097614,0,0,0.06632741908223598,1,0,-0.2596289419448806,1889.5,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
1,-0.43991649313097614,0,0,-1.2367242199587352,1,1,-0.3626603559551803,108.15,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,-0.43991649313097614,0,0,0.5142514200025698,0,0,-0.7465354629935549,1840.75,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
0,-0.43991649313097614,0,0,-1.2367242199587352,1,1,0.19736523310080326,151.65,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,-0.43991649313097614,0,0,-0.9924020376385531,1,1,1.1595456961969886,820.5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
1,-0.43991649313097614,0,1,-0.4223169455581282,1,1,0.8089065291619363,1949.4,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0,-0.43991649313097614,0,0,-0.9109613101984924,0,0,-1.1636465100352518,301.9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
0,-0.43991649313097614,1,0,-0.1779947632379461,1,1,1.330710787214099,3046.05,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
1,-0.43991649313097614,0,1,1.2064976032430856,1,0,-0.28621769394753876,3487.95,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
